Department,Gender,Country,Status
IT,Female,United States,Divorced
IT,Male,China,Married
Finance,Female,United States,Divorced
IT,Female,United States,Married
Finance,Male,United States,Married
Sales,Male,China,Divorced
IT,Female,United States,Married
Finance,Male,United States,Single
Accounting,Male,United States,Single
Finance,Female,United States,Single
Human Resources,Female,United States,Married
Engineering,Female,United States,Divorced
Human Resources,Male,United States,Single
Finance,Female,China,Divorced
Accounting,Male,United States,Married
Marketing,Female,United States,Divorced
Finance,Female,United States,Divorced
Marketing,Female,United States,Married
IT,Male,United States,Single
Sales,Male,China,Single
IT,Male,Brazil,Single
Sales,Female,United States,Married
IT,Male,Brazil,Married
Sales,Male,United States,Married
Sales,Male,China,Single
Human Resources,Male,United States,Divorced
Engineering,Female,Brazil,Divorced
Engineering,Male,United States,Divorced
Engineering,Male,China,Single
IT,Male,China,Single
IT,Male,United States,Married
Finance,Male,Brazil,Divorced
Sales,Male,United States,Divorced
Sales,Male,China,Married
Finance,Female,United States,Married
IT,Female,United States,Married
Engineering,Female,China,Single
Marketing,Male,United States,Divorced
IT,Female,United States,Married
IT,Female,Brazil,Single
Human Resources,Male,China,Divorced
Marketing,Female,United States,Married
IT,Male,United States,Divorced
Sales,Male,China,Married
Marketing,Female,United States,Divorced
IT,Male,United States,Married
IT,Male,United States,Single
IT,Female,United States,Single
Engineering,Male,United States,Married
Engineering,Female,United States,Married
Human Resources,Female,United States,Single
Marketing,Female,United States,Divorced
IT,Female,China,Married
Marketing,Male,United States,Married
Accounting,Female,United States,Divorced
Engineering,Female,United States,Single
Engineering,Female,United States,Divorced
Engineering,Female,United States,Married
Human Resources,Female,United States,Single
Marketing,Male,China,Married
IT,Female,Brazil,Single
Accounting,Female,Brazil,Single
Engineering,Female,United States,Single
Human Resources,Male,United States,Divorced
Finance,Female,United States,Married
Sales,Female,United States,Married
Human Resources,Female,United States,Divorced
Marketing,Female,United States,Divorced
IT,Female,United States,Single
IT,Female,United States,Divorced
Engineering,Male,United States,Single
Finance,Female,United States,Divorced
Accounting,Female,Brazil,Married
Engineering,Male,United States,Single
Marketing,Male,Brazil,Divorced
IT,Male,Brazil,Single
Engineering,Female,China,Single
IT,Male,China,Divorced
Finance,Male,United States,Divorced
Finance,Male,United States,Married
Marketing,Male,United States,Divorced
Engineering,Male,United States,Single
Engineering,Male,United States,Single
Engineering,Female,Brazil,Divorced
Accounting,Male,United States,Single
Human Resources,Female,China,Divorced
Human Resources,Male,China,Divorced
IT,Female,Brazil,Divorced
IT,Female,Brazil,Divorced
IT,Male,United States,Single
Marketing,Male,China,Married
Finance,Female,China,Divorced
Finance,Female,Brazil,Married
Sales,Male,United States,Married
Human Resources,Male,United States,Married
Sales,Female,United States,Single
Finance,Female,China,Divorced
IT,Female,Brazil,Divorced
IT,Male,China,Single
Sales,Female,United States,Divorced
Engineering,Female,United States,Divorced
IT,Female,United States,Married
Engineering,Male,United States,Married
Human Resources,Female,China,Married
Accounting,Male,United States,Married
Finance,Male,United States,Divorced
Engineering,Female,United States,Single
Engineering,Female,United States,Single
Engineering,Male,United States,Divorced
Finance,Male,United States,Married
Sales,Female,China,Divorced
IT,Female,China,Single
IT,Female,United States,Divorced
Sales,Female,United States,Single
Sales,Male,United States,Married
Human Resources,Male,United States,Single
IT,Female,United States,Married
Finance,Female,Brazil,Married
Marketing,Female,United States,Single
Finance,Male,China,Married
IT,Female,United States,Married
Finance,Female,United States,Single
IT,Male,United States,Divorced
Marketing,Female,United States,Divorced
Finance,Female,China,Married
Engineering,Female,United States,Married
Marketing,Female,China,Single
IT,Female,United States,Single
Engineering,Male,China,Single
Finance,Female,China,Single
IT,Male,United States,Single
Engineering,Male,Brazil,Divorced
Human Resources,Female,United States,Married
Sales,Female,China,Single
Engineering,Female,Brazil,Single
IT,Male,United States,Divorced
Human Resources,Female,China,Divorced
Sales,Male,Brazil,Married
Engineering,Male,China,Single
Engineering,Female,China,Single
Marketing,Female,United States,Single
Engineering,Male,United States,Divorced
Human Resources,Female,China,Divorced
IT,Male,China,Single
IT,Male,United States,Married
Human Resources,Male,China,Divorced
Sales,Female,United States,Single
Engineering,Male,United States,Married
IT,Male,China,Divorced
IT,Female,United States,Divorced
Engineering,Male,Brazil,Divorced
Sales,Female,United States,Single
Finance,Male,China,Single
IT,Female,United States,Married
IT,Female,United States,Married
IT,Male,China,Divorced
IT,Male,United States,Divorced
Finance,Female,United States,Married
Accounting,Male,United States,Married
Human Resources,Female,United States,Single
Engineering,Male,United States,Married
Engineering,Female,United States,Married
Sales,Male,Brazil,Divorced
IT,Male,Brazil,Married
Marketing,Male,China,Divorced
Engineering,Male,United States,Divorced
Finance,Male,United States,Divorced
Sales,Female,United States,Married
Accounting,Female,United States,Married
Sales,Female,United States,Divorced
Human Resources,Female,Brazil,Single
IT,Male,China,Single
Human Resources,Male,United States,Married
Accounting,Female,United States,Married
IT,Male,United States,Divorced
Marketing,Female,United States,Divorced
Marketing,Male,United States,Single
Finance,Female,China,Divorced
Finance,Female,United States,Married
Marketing,Male,United States,Divorced
IT,Female,United States,Divorced
Marketing,Female,China,Married
Marketing,Male,United States,Divorced
IT,Female,China,Divorced
IT,Male,China,Single
IT,Male,China,Married
IT,Male,Brazil,Single
Marketing,Male,Brazil,Single
Human Resources,Male,Brazil,Single
Human Resources,Male,United States,Single
Sales,Male,United States,Divorced
Sales,Female,China,Divorced
Engineering,Male,China,Married
Sales,Female,United States,Divorced
IT,Male,United States,Married
Sales,Male,China,Divorced
Marketing,Male,Brazil,Single
Sales,Female,China,Married
IT,Female,United States,Single
Marketing,Female,United States,Single
IT,Male,United States,Married
Sales,Female,United States,Divorced
Engineering,Male,United States,Married
Engineering,Female,United States,Single
Engineering,Male,United States,Married
IT,Male,United States,Single
Engineering,Male,United States,Married
Human Resources,Male,China,Single
Sales,Male,United States,Married
Accounting,Male,United States,Divorced
Sales,Female,Brazil,Single
Sales,Male,United States,Single
Accounting,Male,United States,Married
IT,Male,China,Married
Engineering,Male,United States,Married
Engineering,Male,Brazil,Married
Finance,Female,United States,Married
Marketing,Female,United States,Divorced
Finance,Male,Brazil,Single
Sales,Male,United States,Married
Engineering,Female,United States,Single
IT,Female,China,Married
Finance,Female,United States,Married
Sales,Female,United States,Divorced
IT,Female,United States,Divorced
Sales,Female,China,Divorced
Human Resources,Female,United States,Married
Engineering,Male,United States,Single
Engineering,Female,United States,Divorced
Finance,Male,China,Married
Human Resources,Male,United States,Divorced
Accounting,Male,China,Divorced
